Date,DJI,SP500,CAC40,NYSE,NASDAQ,FTSE,N225,SSE,SZ,SH,HSI
2016-07-11,18226.9296875,2137.159912109375,4264.52978515625,10627.2001953125,4988.64013671875,6682.89990234375,15708.8203125,2994.9169921875,10594.701171875,3135.030029296875,20880.5
2016-07-12,18347.669921875,2152.139892578125,4331.3798828125,10726.7900390625,5022.81982421875,6680.7001953125,16095.650390625,3049.381103515625,10757.7294921875,3192.179931640625,21224.740234375
2016-07-13,18372.119140625,2152.429931640625,4335.259765625,10734.2001953125,5005.72998046875,6670.39990234375,16231.4296875,3060.68896484375,10853.4375,3204.030029296875,21322.369140625
2016-07-14,18506.41015625,2163.75,4385.52001953125,10786.6298828125,5034.06005859375,6654.5,16385.890625,3054.01806640625,10854.017578125,3197.070068359375,21561.060546875
2016-07-15,18516.55078125,2161.739990234375,4372.509765625,10773.1201171875,5029.58984375,6669.2001953125,16497.849609375,3054.2958984375,10823.087890625,3197.330078125,21659.25
2016-07-18,18533.05078125,2166.889892578125,4357.740234375,10793.169921875,5055.77978515625,6695.39990234375,,3043.56396484375,10761.8798828125,3186.110107421875,21803.1796875
2016-07-19,18559.009765625,2163.780029296875,4330.1298828125,10758.5400390625,5036.3701171875,6697.39990234375,16723.310546875,3036.597900390625,10778.1298828125,3178.7900390625,21673.19921875
2016-07-20,18595.029296875,2173.02001953125,4379.759765625,10793.099609375,5089.93017578125,6729.0,16681.890625,3027.89990234375,10759.740234375,3169.639892578125,21882.48046875
2016-07-21,18517.23046875,2165.169921875,4376.25,10758.6201171875,5073.89990234375,6699.89990234375,16810.220703125,3039.009033203125,10787.08984375,3181.260009765625,22000.490234375
2016-07-22,18570.849609375,2175.030029296875,4381.10009765625,10805.0400390625,5100.16015625,6730.5,16627.25,3012.81591796875,10708.9501953125,3153.800048828125,21964.26953125
2016-07-25,18493.060546875,2168.47998046875,4388.0,10752.4296875,5097.6298828125,6710.10009765625,16620.2890625,3015.827880859375,10718.240234375,3156.969970703125,21993.439453125
2016-07-26,18473.75,2169.179931640625,4394.77001953125,10772.990234375,5110.0498046875,6724.0,16383.0400390625,3050.166015625,10852.087890625,3192.989990234375,22129.73046875
2016-07-27,18472.169921875,2166.580078125,4446.9599609375,10739.76953125,5139.81005859375,6750.39990234375,16664.8203125,2991.9990234375,10405.7333984375,3132.090087890625,22218.990234375
2016-07-28,18456.349609375,2170.06005859375,4420.580078125,10744.16015625,5154.97998046875,6721.10009765625,16476.83984375,2994.322998046875,10396.193359375,3134.530029296875,22174.33984375
2016-07-29,18432.240234375,2173.60009765625,4439.81005859375,10785.509765625,5162.1298828125,6724.39990234375,16569.26953125,2979.339111328125,10329.32421875,3118.89990234375,21891.369140625
2016-08-01,18404.509765625,2170.840087890625,4409.169921875,10730.2001953125,5184.2001953125,6694.0,16635.76953125,2953.385009765625,10185.3662109375,3091.75,22129.140625
2016-08-02,18313.76953125,2157.030029296875,4327.990234375,10661.1298828125,5137.72998046875,6645.39990234375,16391.44921875,2971.279052734375,10250.435546875,3110.510009765625,
2016-08-03,18355.0,2163.7900390625,4321.080078125,10695.1396484375,5159.740234375,6634.39990234375,16083.1103515625,2978.4609375,10281.134765625,3117.989990234375,21739.119140625
2016-08-04,18352.05078125,2164.25,4345.6298828125,10707.1298828125,5166.25,6740.2001953125,16254.8896484375,2982.426025390625,10366.3837890625,3122.110107421875,21832.23046875
